id,term,definition,usage_note,status,uri,source,category,prov_class,examples,last_modified
0,Accession Assessment,An activity with the goal of determining whether or not a specimen should be accessioned into a collection.,,Approved,,This Document,Collections,prov:Activity,,20251013
1,Accessioning,"The formal, documented process to legally add an object or group of objects to a museum collection. A single accession transaction occurs when one or more objects are acquired in the same manner, from one source, and at one time.",,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Activity,,20251013
2,Acquisition,"An activity with the objective of gaining physical custory of an object for a museum collection through purchase, donation, bequest, transfer, or fieldwork. This includes the associated metdata primarily derived from primary sources.","The scope of an acquisition includes any prov:Activity that results in the possession of a specimen. In contrast, accession has a specific meaning and involves the formal transfer of ownership. Acquisition is an informal custody transfer of an object by an agent. In contrast, an accession is a formal process by which the ownership of an object is transfered to a museum",Approved,,"ISO 21246:2019(en), http://purl.obolibrary.org/obo/OBI_0600008, Master Glossary for DOI Museum Property Directives",Collections,prov:Activity,,20251013
3,Action,A semantically identifiable behavior of an entity or group of entities,,Approved,,ISO/IEC 15938-5,Workflows,prov:Activity,,20251013
4,Action Specification,A specification composed of a sequence of instructions to achieve some objective.,Subclass of Specification,Provisional,http://semanticscience.org/resource/SIO_000091,,Workflows,prov:Plan,,20251013
5,Activity,"An intentional action or a series of actions, performed by an agent, occurring over a period of time, and usually resulting in new entities.","Activity may be understood from two perspectives. First it can be understood as leading to an end. The end is the purpose of the Activity, or why the Activity is performed. Second, it can be understood in terms of the processes that lead to achieving the end, how the end is realized through coordinated actions. Purpose and process are complementary understandings of Activity. Together the two perspectives address why the Activity is performed, the expected ends or outcomes; and how the Activity fulfills the purpose. ",Approved,,"Adopted from https://www.irit.fr/recherches/MELODI/ontologies/BBO#Activity and http://www.w3.org/ns/prov#Activity, rico:Activity",Workflows,prov:Entity,,20251013
6,Activity,Activity is a kind of Event and specifically used to designate purposeful human activity.,"Activity may be understood from two perspectives. First it can be understood as leading to an end. The end is the purpose of the Activity, or why the Activity is performed. Second, it can be understood in terms of the processes that lead to achieving the end, how the end is realized through coordinated actions. Purpose and process are complementary understandings of Activity. Together the two perspectives address why the Activity is performed, the expected ends or outcomes; and how the Activity fulfills the purpose. While activity has an intended end, it also has unintended consequences and results, or side-effects. By and large, these may not be the focus of the description, but they are, unquestionably, context.",Provisional,https://www.ica.org/standards/RiC/ontology#Activity,,Global,prov:Activity,,20251013
7,Agent,"An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity. ","Agents typically persons, organizations, or software that perform tasks, including making assertions, or generating information used as evidence. In the execution of such tasks, an 'agent role' is realized that inheres in the agent.",Approved,http://www.w3.org/ns/prov#Agent,,Global,prov:Entity,,20251013
8,Asset,An asset represents the conceptual content of a resource.,,Approved,http://www.w3.org/ns/radion#Asset,,Global,prov:Entity,,20251013
9,Backlog,Collection objects in the physical custody of a collection that have not completed the verbatim data capture or acqusition phase of a digitization project.,"In the broadest sense of the term, the backlog consists of incomplete digital records, which prohibits the digitization process from advancing to the data curation and archival phase. ",Approved,,This Document,Collections,prov:Entity,,20251013
10,Barcode,"Digital coding system showing an eye-visible linear array of rectangular marks of (possibly) varying width, height and vertical alignment, separated by spaces of (possibly) varying width in which the positioning and size of marks and spaces are used to code information to identify various types of material objects",Usage of the term barcode has been extended to represent a collection-level identifier analogous to catalog number.,Approved,,ISO 5127:201,Collections,prov:Entity,,20251013
11,Biological Object,"Individual items (physical objects) of a material nature, which live, have lived, or are natural products of or from living organisms.",,Approved,,CIDOC CRM version 7.1.3,Collections,prov:Entity,,20251013
12,Branch,A new instance of a workflow that splits from an existing workflow triggered by a planned activity such as acquiring a new collection object from an existing one (subsampling). The new workflow runs in parallel and is optionally reconnected for mobilization purposes.,,Approved,,This Document,Workflows,prov:Entity,,20251013
13,Catalog Record,"Written or electronic documentation that captures the unique identifying number assigned to a museum object or group of objects, along with a physical description, condition, provenience, and other pertinent information that facilitates physical and intellectual access.",,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Entity,,20251013
14,Collection,Designates an accumulated group of objects with a focal characteristic that is assembled and maintained by an agent over time.,,Approved,http://terminology.lido-schema.org/lido01053,,Collections,prov:Entity,,20251013
15,Collection Management,"All practices and procedures implemented by a museum in acquiring, documenting, handling, accessing, cataloguing, storing, securing, lending, conserving and disposing of collection objects",,Approved,,ISO 18461:2016,Collections,prov:Activity,,20251013
16,Collection Management System,"An integrated software tool with a metadata structure specifically designed for capturing, curating, preserving, and accessing data associated with museum collections",,Approved,,This Document,Collections,prov:Entity,,20251013
17,Collection Object,A physical or digital object that belongs to a museum collection,,Approved,,This Document,Collections,prov:Entity,,20251013
18,Collection Workflow,"A planed activity that defines role(s), procedures, task(s), and a specific structure in direct support of the care and digitization of museum collections",A workflow is a type of prov:Activity that has at least two procedures as proper parts. A workflow may be seen as an abstract model of real work.,Approved,,This Document,Collections,prov:Activity,,20251013
19,Concept Harmonization,Activity leading to the establishment of a correspondence between two or more closely related or overlapping concepts having in order to eliminate or reduce minor differences between them.,,Approved,,ISO 19104:2016(en) Geographic information — Terminology,Global,prov:Activity,,20251013
20,Conservator,Person who performs the operations necessary to maintain the integrity and value of material objects in an information and documentation organization,A collections manager is a type of conservator specifically associated with a museum collection,Approved,,ISO 5127:201,Collections,prov:Role,,20251013
21,Curated Holding,"Comprises aggregations of physical objects that are curated and preserved by one or more Agents over time for a specific purpose and audience, and according to a particular collection development plan. ",,Approved,,CIDOC CRM version 7.1.3,Collections,prov:Entity,,20251013
22,Curator,Person responsible for overseeing a collection with expertise in the same domain as the collection,,Provisional,,ISO 5127:201,Collections,prov:Role,,20251013
