term,definition,usage_note,status,url,source,category,prov_class,examples
Accession Assessment,An activity with the goal of determining whether or not a specimen should be accessioned into a collection.,,Approved,,This Document,Collections,prov:Activity,
Accessioning,"The formal, documented process to legally add an object or group of objects to a museum collection. A single accession transaction occurs when one or more objects are acquired in the same manner, from one source, and at one time.",,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Activity,
Acquisition,"An activity with the objective of gaining physical custory of an object for a museum collection through purchase, donation, bequest, transfer, or fieldwork. This includes the associated metdata primarily derived from primary sources.","The scope of an acquisition includes any prov:Activity that results in the possession of a specimen. In contrast, accession has a specific meaning and involves the formal transfer of ownership. Acquisition is an informal custody transfer of an object by an agent. In contrast, an accession is a formal process by which the ownership of an object is transfered to a museum",Approved,,"ISO 21246:2019(en), http://purl.obolibrary.org/obo/OBI_0600008, Master Glossary for DOI Museum Property Directives",Collections,prov:Activity,
Action,A semantically identifiable behavior of an entity or group of entities,,Approved,,ISO/IEC 15938-5,Workflows,prov:Activity,
Action Specification,A specification composed of a sequence of instructions to achieve some objective.,Subclass of Specification,Provisional,http://semanticscience.org/resource/SIO_000091,,Workflows,prov:Plan,
Activity,"An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities.",,Approved,http://www.w3.org/ns/prov#Activity,PROV-O: The PROV Ontology,Workflows,prov:Entity,
Agent,"An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity. ","Agents typically persons, organizations, or software that perform tasks, including making assertions, or generating information used as evidence. In the execution of such tasks, an 'agent role' is realized that inheres in the agent.",Approved,http://www.w3.org/ns/prov#Agent,PROV-O: The PROV Ontology,Global,prov:Entity,
Asset,An asset represents the conceptual content of a resource.,,Approved,http://www.w3.org/ns/radion#Asset,Repository Asset Distribution (RADion),Global,prov:Entity,
Backlog,Collection objects in the physical custody of a collection that have not completed the verbatim data capture or acqusition phase of a digitization project.,"In the broadest sense of the term, the backlog consists of incomplete digital records, which prohibits the digitization process from advancing to the data curation and archival phase. ",Approved,,This Document,Collections,prov:Entity,
Barcode,"Digital coding system showing an eye-visible linear array of rectangular marks of (possibly) varying width, height and vertical alignment, separated by spaces of (possibly) varying width in which the positioning and size of marks and spaces are used to code information to identify various types of material objects",Usage of the term barcode has been extended to represent a collection-level identifier analogous to catalog number.,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Entity,
Biological Object,"Individual items (physical objects) of a material nature, which live, have lived, or are natural products of or from living organisms.",,Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,Definition of the CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,
Workflow Branch,A new instance of a workflow that splits from an existing workflow triggered by a planned activity such as acquiring a new collection object from an existing one (subsampling). The new workflow runs in parallel and is optionally reconnected for mobilization purposes.,,Approved,,This Document,Workflows,prov:Entity,
Catalog Record,"Written or electronic documentation that captures the unique identifying number assigned to a museum object or group of objects, along with a physical description, condition, provenience, and other pertinent information that facilitates physical and intellectual access.",,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Entity,
Collection,Designates an accumulated group of objects with a focal characteristic that is assembled and maintained by an agent over time.,,Approved,http://terminology.lido-schema.org/lido01053,Lightweight Information Describing Objects,Collections,prov:Entity,
Collection Management,"All practices and procedures implemented by a museum in acquiring, documenting, handling, accessing, cataloguing, storing, securing, lending, conserving and disposing of collection objects",,Approved,https://www.iso.org/standard/62504.html,ISO 18461:2016 International museum statistics,Collections,prov:Activity,
Collection Management System,"An integrated software tool with a metadata structure specifically designed for capturing, curating, preserving, and accessing data associated with museum collections",,Approved,,This Document,Collections,prov:Entity,
