term,definition,usage_note,status,url,source,category,prov_class,examples,resource_id
Accession Assessment,An activity with the goal of determining whether or not a specimen should be accessioned into a collection.,,Approved,,This Document,Collections,prov:Activity,,accession-assessment
Accessioning,"The formal, documented process to legally add an object or group of objects to a museum collection. A single accession transaction occurs when one or more objects are acquired in the same manner, from one source, and at one time.",,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Activity,,accessioning
Acquisition,"An activity with the objective of gaining physical custory of an object for a museum collection through purchase, donation, bequest, transfer, or fieldwork. This includes the associated metdata primarily derived from primary sources.","The scope of an acquisition includes any prov:Activity that results in the possession of a specimen. In contrast, accession has a specific meaning and involves the formal transfer of ownership. Acquisition is an informal custody transfer of an object by an agent. In contrast, an accession is a formal process by which the ownership of an object is transfered to a museum",Approved,,"ISO 21246:2019(en), http://purl.obolibrary.org/obo/OBI_0600008, Master Glossary for DOI Museum Property Directives",Collections,prov:Activity,,acquisition
Action,A semantically identifiable behavior of an entity or group of entities,,Approved,,ISO/IEC 15938-5,Workflows,prov:Activity,,action
Action Specification,A specification composed of a sequence of instructions to achieve some objective.,Subclass of Specification,Provisional,http://semanticscience.org/resource/SIO_000091,,Workflows,prov:Plan,,action-specification
Activity,"An activity is something that occurs over a period of time and acts upon or with entities; it may include consuming, processing, transforming, modifying, relocating, using, or generating entities.",,Approved,http://www.w3.org/ns/prov#Activity,PROV-O: The PROV Ontology,Workflows,prov:Entity,,activity
Agent,"An agent is something that bears some form of responsibility for an activity taking place, for the existence of an entity, or for another agent's activity. ","Agents typically persons, organizations, or software that perform tasks, including making assertions, or generating information used as evidence. In the execution of such tasks, an 'agent role' is realized that inheres in the agent.",Approved,http://www.w3.org/ns/prov#Agent,PROV-O: The PROV Ontology,Global,prov:Entity,,agent
Anthropology,"Anthropology is the scientific study of humans, human behavior and societies in the past and present.",Subclass of Social Sciences,Approved,https://w3id.org/skgo/modsci#Anthropology,Modern Science Ontology,Collections,prov:Activity,,anthropology
Archaeological material,"This class represents an archaeological material, that is a part of a lot of archaeological materials.",,Approved,https://w3id.org/arco/ontology/arco/ArchaeologicalMaterial,ArCo Ontology - Architecture of Knowledge,Collections,prov:Entity,,archaeological-material
Archaeology,"Archaeology, or archeology, is the study of human activity through the recovery and analysis of material culture.",Subclass of Social Science,Approved,https://w3id.org/skgo/modsci#Archaeology,Modern Science Ontology,Collections,prov:Activity,,archaeology
Asset,An asset represents the conceptual content of a resource.,,Approved,http://www.w3.org/ns/radion#Asset,Repository Asset Distribution (RADion),Global,prov:Entity,,asset
Backlog,Collection objects in the physical custody of a collection that have not completed the verbatim data capture or acqusition phase of a digitization project.,"In the broadest sense of the term, the backlog consists of incomplete digital records, which prohibits the digitization process from advancing to the data curation and archival phase. ",Approved,,This Document,Collections,prov:Entity,,backlog
Barcode,"Digital coding system showing an eye-visible linear array of rectangular marks of (possibly) varying width, height and vertical alignment, separated by spaces of (possibly) varying width in which the positioning and size of marks and spaces are used to code information to identify various types of material objects",Usage of the term barcode has been extended to represent a collection-level identifier analogous to catalog number.,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Entity,,barcode
Bioinformatics Pipeline,A software pipeline that is composed of a wide array of software algorithms to process biological raw data.,,Approved,http://purl.obolibrary.org/obo/NGBO_6000685,,Data,prov:Entity,,bioinformatics-pipeline
Biological Object,"Individual items (physical objects) of a material nature, which live, have lived, or are natural products of or from living organisms.",,Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,Definition of the CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,,biological-object
Biology,Biology is the science of life. It is concerned with the characteristics and behaviors of organisms,,Approved,https://w3id.org/skgo/modsci#Biology,Modern Science Ontology,Collections,prov:Activity,,biology
Catalog Record,"Written or electronic documentation that captures the unique identifying number assigned to a museum object or group of objects, along with a physical description, condition, provenience, and other pertinent information that facilitates physical and intellectual access.",,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Entity,,catalog-record
Collection,Designates an accumulated group of objects with a focal characteristic that is assembled and maintained by an agent over time.,,Approved,http://terminology.lido-schema.org/lido01053,Lightweight Information Describing Objects,Collections,prov:Entity,,collection
Collection Management,"All practices and procedures implemented by a museum in acquiring, documenting, handling, accessing, cataloguing, storing, securing, lending, conserving and disposing of collection objects",,Approved,https://www.iso.org/standard/62504.html,ISO 18461:2016 International museum statistics,Collections,prov:Activity,,collection-management
Collection Management System,"An integrated software tool with a metadata structure specifically designed for capturing, curating, preserving, and accessing data associated with museum collections",,Approved,,This Document,Collections,prov:Entity,,collection-management-system
Collection Object,A physical or digital object that belongs to a museum collection,,Approved,,This Document,Collections,prov:Entity,,collection-object
Collection Workflow,"A planed activity that defines role(s), procedures, task(s), and a specific structure in direct support of the care and digitization of museum collections",A workflow is a type of prov:Activity that has at least two procedures as proper parts. A workflow may be seen as an abstract model of real work.,Approved,,This Document,Collections,prov:Activity,,collection-workflow
Concept Harmonization,Activity leading to the establishment of a correspondence between two or more closely related or overlapping concepts having in order to eliminate or reduce minor differences between them.,,Approved,https://www.iso.org/standard/63541.html,ISO 19104:2016(en) Geographic information — Terminology,Global,prov:Activity,,concept-harmonization
Conservator,Person who performs the operations necessary to maintain the integrity and value of material objects in an information and documentation organization,A collections manager is a type of conservator specifically associated with a museum collection,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Role,,conservator
Contributor,An entity responsible for making contributions to the resource.,,Approved,http://purl.org/dc/terms/contributor,DCMI Metadata Terms,Collections,prov:Role,,contributor
Crystallography,Crystallography is the scientific study of crystals.,Subclass of Chemistry,Approved,https://w3id.org/skgo/modsci#Crystallography,Modern Science Ontology,Collections,prov:Activity,,crystallography
Cultural Heritage,"Legacy of physical objects and intangible attributes of a group or a society that are inherited from past generations, maintained and protected in the present and preserved for future generations",,Approved,,ISO 18461:2016(en) International museum statistics,Collections,prov:Entity,,cultural-heritage
Cultural Studies,"Cultural studies is a field of theoretically, politically, and empirically engaged cultural analysis that concentrates upon the political dynamics of contemporary culture, its historical foundations, defining traits, conflicts, and contingencies.",,Approved,https://w3id.org/skgo/modsci#CulturalStudies,Modern Science Ontology,Collections,prov:Activity,,cultural-studies
Curated Holding,"Comprises aggregations of physical objects that are curated and preserved by one or more Agents over time for a specific purpose and audience, and according to a particular collection development plan. ",,Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,Definition of the CIDOC Conceptual Reference Model version 7.1.3,Collections,prov:Entity,,curated-holding
Curator,Person responsible for overseeing a collection with expertise in the same domain as the collection,,Provisional,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Role,,curator
Data Capture,Deliberate action that results in the registration of a record into a record keeping system.,,Approved,,ISO 18530:2021 Health informatics — Automatic identification and data capture marking and labelling — Subject of care and individual provider identification,Workflows,prov:Activity,,data-capture
Data Cleaning,Refers to the step or series of steps for cleaning and curating data in a workflow. ,"Typically these steps are undertaken by sophisticated tooling/services, or by human interactions. A Data Cleaning step preserves and enriches the content of data.",Approved,http://purl.org/net/wf-motifs#DataCleaning,The Workflow Motif Ontology,Workflows,prov:Activity,,data-cleaning
Data Collector,Person/institution responsible for finding or gathering/collecting data,,Approved,,Adopted from http://w3id.org/nfdi4ing/metadata4ing#DataCollector,Workflows,prov:Role,,data-collector
Data Curation,"A planned process in which existing data is collected, organized, and improved in preparation for subsequent use.",,Approved,http://purl.obolibrary.org/obo/SEPIO_0000131,Ontology for Scientific Evidence and Provenance Information,Workflows,prov:Activity,,data-curation
Data Curation and Archival,"An activity that includes the preservation of data in a repository, archive, or a deposition database; and curation of data and metadata, database accessions, annotation, and data provenance with the goal of ensuring that data is findable and reusable. ",,Approved,http://edamontology.org/topic_0219,EDAM - Ontology of bioscientific data analysis and data management,Workflows,prov:Activity,,data-curation-and-archival
Data Curation Workflow,A type of workflow that includes active steps to curate data as an aid to on-going management of data through its lifecycle.,,Approved,http://purl.obolibrary.org/obo/T4FS_0000102,terms4FAIRskills,Workflows,prov:Activity,,data-curation-workflow
Data Curator,"Person tasked with reviewing, enhancing, cleaning, or standardizing metadata and the associated data submitted for storage, use, and maintenance within a centralized data store or repository",,Approved,,DataCite Metadata Scheme,Collections,prov:Role,,data-curator
